play_id,game_id,posteam,defteam,epa,half_minutes_remaining,down,season,success,xpass,new_play_type,location,score_differential_buckets,ydstogo_buckets
68,2022_01_BAL_NYJ,NYJ,BAL,1.46881923265755,29,1.0,2022,1.0,0.440372914075851,run,end,0,10
89,2022_01_BAL_NYJ,NYJ,BAL,-0.492192422039807,29,1.0,2022,0.0,0.389904022216797,short pass,left,0,10
115,2022_01_BAL_NYJ,NYJ,BAL,-0.325931259430945,29,2.0,2022,0.0,0.44357493519783,run,end,0,10
136,2022_01_BAL_NYJ,NYJ,BAL,-2.40220025926828,29,3.0,2022,0.0,0.963242471218109,short pass,right,0,5
202,2022_01_BAL_NYJ,BAL,NYJ,0.0751274824142456,28,1.0,2022,1.0,0.479317873716354,short pass,right,0,10
230,2022_01_BAL_NYJ,BAL,NYJ,-0.105120291467756,28,2.0,2022,0.0,0.608056545257568,short pass,left,0,6
254,2022_01_BAL_NYJ,BAL,NYJ,0.895055219996721,27,3.0,2022,1.0,0.798116028308868,run,tackle,0,2
275,2022_01_BAL_NYJ,BAL,NYJ,-0.529274165164679,27,1.0,2022,0.0,0.494006752967835,run,end,0,10
301,2022_01_BAL_NYJ,BAL,NYJ,0.411131828092039,26,2.0,2022,1.0,0.56518018245697,short pass,left,0,10
330,2022_01_BAL_NYJ,BAL,NYJ,-1.86657185154036,25,3.0,2022,0.0,0.743527829647064,run,tackle,0,2
391,2022_01_BAL_NYJ,NYJ,BAL,-1.05882230238058,24,1.0,2022,0.0,0.38896906375885,run,end,0,10
412,2022_01_BAL_NYJ,NYJ,BAL,-0.179725560126826,24,2.0,2022,0.0,0.626492321491242,short pass,left,0,11-15
469,2022_01_BAL_NYJ,NYJ,BAL,-0.602929739747196,23,1.0,2022,0.0,0.450690180063248,run,dive,0,10
490,2022_01_BAL_NYJ,NYJ,BAL,-0.752288276329637,22,2.0,2022,0.0,0.630825042724609,run,guard,0,9
511,2022_01_BAL_NYJ,NYJ,BAL,-1.42365120025352,22,3.0,2022,0.0,0.980882942676544,deep pass,right,0,9
552,2022_01_BAL_NYJ,BAL,NYJ,-0.547003813553602,22,1.0,2022,0.0,0.502714574337006,short pass,middle,0,10
574,2022_01_BAL_NYJ,BAL,NYJ,-0.82677958952263,22,2.0,2022,0.0,0.574752390384674,run,dive,0,10
595,2022_01_BAL_NYJ,BAL,NYJ,-1.20748514169827,21,3.0,2022,0.0,0.982686936855316,short pass,right,0,9
636,2022_01_BAL_NYJ,NYJ,BAL,1.55097722844221,21,1.0,2022,1.0,0.468078553676605,deep pass,left,0,10
660,2022_01_BAL_NYJ,NYJ,BAL,-0.742475949460641,20,1.0,2022,0.0,0.464095294475555,run,end,0,10
697,2022_01_BAL_NYJ,NYJ,BAL,-6.81797308416572,20,1.0,2022,0.0,0.692766785621643,short pass,middle,0,16-20
